rev_title,author,author_reviews,ratingdate,text,visitdate,likes,rating
Top-notch dining in Le Marais,markfT5463KJ,,"Reviewed July 14, 2016 ","We booked reservations for lunch here several weeks in advance. This restaurant more than earns its Michelin star - every course of our 6-course tasting menu was excellent. We asked the sommelier (or at least the waiter we were directed to with our wine questions) for a recommendation to pair with the food since we didn't know what food would be coming out - he steered us to a mid-priced red Burgundy that was possibly the best bottle of wine we had during our two-week trip, and it went beautifully with almost all the dishes. The food was traditional but playful - the beef carpaccio came out with a raw egg yolk underneath, which I've seen with tartare but not with carpaccio, and it also had little nuggets of tart fruit strewn among the beef, which went deliciously with the fat in the meat and egg. The atmosphere was casual but elegant, and the waitstaff were all very attentive and friendly. I'd definitely recommend this place for anyone looking for fine dining in a laid-back setting. ",Date of visit: July 2016,,5
Best Meal We've Had,ecadams87,,"Reviewed July 2, 2016 ","We snagged a lunch reservation here for the first day of our honeymoon -- and boy did it get the trip off on the right foot! Every course was simple and straightforward, with bold, interesting flavors. The ambiance of the restaurant is also relaxed and straightforward: while the food was some of the best we've ever eaten, it felt so effortless -- a far cry from other stuffy Parisian restaurants who seem to scream at the top of their lungs how hard they are working to craft this experience for you. If I could, I would eat at Septime every day and I don't think I would ever get bored.",Date of visit: June 2016,,5
Wonderful lunch in Paris!,Janet B,,"Reviewed June 29, 2016 ","Visited Septime this past month. I made the reservation 3 weeks in advance, per suggestion, for lunch. I want to report there were empty tables available, however. You could take your chances but why? This was, by far, our best meal in Paris. My daughter and I had the three course lunch and it was delicious and a perfect amount of food. Flavors were fun and perfectly designed. If I went again, I would have the wine pairing. The only downside was that we had a number of different wait staff(all very nice) throughout our hour and a half and they were quite busy getting ready for dinner. So a little lacking in attention, which I get because it's lunchtime. Maybe dinner provides more consistent service. If you get the chance to visit Paris, visit Septime. ",Date of visit: June 2016,1  ,5
Terrible night,cintra1978,,"Reviewed June 23, 2016 ","I asked the concierge from my hotel in Paris two days ago to get a reservation for the Septime Restaurant, for this Thursday. I was taken aback when I got there and they said the concierge had lied to me since they are fully booked for the next two months and they could not have made the reservation. Later on they found out the reservation had been made on my surname, slightly different though, for two days before. It is weird to think that a restaurant which boasts of being so busy was able to make a last minute reservation for the same day even though I meant it for two days later. The whole time they put the blame on us and the hotel for the wrong booking. The restaurant staff was very arrogant and clearly not organized at all - not to mention beginners. We left the place very frustrated but at the same time relieved - the place didn't seem pleasant, very hot and the atmosphere seemed quite down, with few tables occupied.
We went to Joel Rebouchon from there and even though we had no reservation they treated us lovely and in a professional way - just how it should be. Septime never again",Date of visit: June 2016,5  ,1
Worth the visit,dodo4u,,"Reviewed June 20, 2016 ","Managed to find an opening online and booked it rightaway.

Easy to reach by metro and a 2 minute walk.

Friendly staff, casual and polite.

Tried the 6 course degustation lunch and each course was excellent except for the fish which lacked some flavor. Delicious dessert of roasted apricots.

Highly recommended!",Date of visit: June 2016,,5
A meal that is of the highest quality and matching wines that really challenged our thinking,John T,,"Reviewed June 15, 2016 ","We had the 7 course menu with matching wines and the meal was exquisite. The matching wines were excellent (not what I would normally have selected). The blend of ingredients and cooking styles created flavours and textures that were some of the best dishes I have had. You could see they took great pride and professionalism in their cooking and the wait staff were very well trained in the menu and serving. This is well worth booking ahead for and visiting. We stayed at the Exquis across the road, so a great combination.",Date of visit: June 2016,,5
What a good table,pojack55,153 reviews,"Reviewed June 15, 2016 ",,Date of visit: October 2015,,5
Well worth the hassle of getting online in time to book,Maitreyib,,"Reviewed May 28, 2016 ","We got there ten minutes late for a 1330 reservation and had to,wit for a table. Staff friendly, soured us it would not be long, asked if we wanted a drink at bar while waiting, and brought us a plate of delicious, moist ham.
Plain wooden tables with no table cloths, rather austere, but it all worked. We were assured the kitchen would not close at 1400 until we had ordered and eaten!
Carefully prepared food, fresh, seasonal ingredients. We had to book exactly three weeks in advance , and the time slots go very quickly. We had a wonderful meal. Would definitely recommend. Could take metro there, although a longish walk. Neighborhood did not look like much, but oh, the food!",Date of visit: April 2016,1  ,4
Amazing!,AWinterborn,5 reviews,"Reviewed May 25, 2016 ",Everything was amazing! Cant find any faults. The food was creative and delicious and service impeccable! Go for yourself and find out!,Date of visit: April 2016,1  ,5
Delicious food,71barryz,17 reviews,"Reviewed May 15, 2016 ","I had the 3 course lunch, which I reserved on their website.  (Dinner cannot be reserved on the website).  All the courses were excellent.  High quality ingredients, perfectly cooked and creative.  Service was also outstanding.",Date of visit: May 2016,2  ,5
